# 2024-05-29
# This is a hand-crafted list providing synonyms for EDQM Standard Terms
"SYNONYM";"TARGETCODE";"NAME"
"Gran. z. Herst. e. Injektionssusp.";"PDF-13048000";"Granules for suspension for injection"
"Gran. zur Herst. einer Inj.-Susp.";"PDF-13048000";"Granules for suspension for injection"
"Gran. z. Herst. einer Inj.-Susp.";"PDF-13048000";"Granules for suspension for injection"
"Gran. zur Herst. e. Inj.-Susp.";"PDF-13048000";"Granules for suspension for injection"
"Gran. z. Herst. e. Inj.-Susp.";"PDF-13048000";"Granules for suspension for injection"
"Pulver zur Herst. einer Rektalsusp.";"PDF-11010000";"Powder for rectal suspension"
"Pulver z. Herst. einer Rektalsusp.";"PDF-11010000";"Powder for rectal suspension"
"Pulver zur Herst. e. Rektalsusp.";"PDF-11010000";"Powder for rectal suspension"
"Pulver z. Herst. e. Rektalsusp.";"PDF-11010000";"Powder for rectal suspension"
"Emuls. zur Inj./Inf.";"PDF-11203000";"Emulsion for injection"
"Emuls. z. Inj./Inf.";"PDF-11203000";"Emulsion for injection"
